Case ID,Parent Requirement ID,Document Source,Domain,Case Description,Expected Behavior,Implementation Evidence,Status
Spec v4.3::VID-018,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-018 extracted from Spec v4.3,System must enforce contract rules specified under VID-018,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-019,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-019 extracted from Spec v4.3,System must enforce contract rules specified under VID-019,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-020,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-020 extracted from Spec v4.3,System must enforce contract rules specified under VID-020,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-001,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-001 extracted from Spec v4.3,System must enforce contract rules specified under AUD-001,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-002,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-002 extracted from Spec v4.3,System must enforce contract rules specified under AUD-002,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-003,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-003 extracted from Spec v4.3,System must enforce contract rules specified under AUD-003,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-004,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-004 extracted from Spec v4.3,System must enforce contract rules specified under AUD-004,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-005,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-005 extracted from Spec v4.3,System must enforce contract rules specified under AUD-005,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-006,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-006 extracted from Spec v4.3,System must enforce contract rules specified under AUD-006,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-007,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-007 extracted from Spec v4.3,System must enforce contract rules specified under AUD-007,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-008,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-008 extracted from Spec v4.3,System must enforce contract rules specified under AUD-008,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-009,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-009 extracted from Spec v4.3,System must enforce contract rules specified under AUD-009,src/core/autogram_core/,PARTIAL
Spec v4.3::AUD-010,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case AUD-010 extracted from Spec v4.3,System must enforce contract rules specified under AUD-010,src/core/autogram_core/,PARTIAL
Spec v4.3::ANI-001,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case ANI-001 extracted from Spec v4.3,System must enforce contract rules specified under ANI-001,src/core/autogram_core/,PARTIAL
Spec v4.3::ANI-002,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case ANI-002 extracted from Spec v4.3,System must enforce contract rules specified under ANI-002,src/core/autogram_core/,PARTIAL
Spec v4.3::ANI-003,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case ANI-003 extracted from Spec v4.3,System must enforce contract rules specified under ANI-003,src/core/autogram_core/,PARTIAL
Spec v4.3::STK-001,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case STK-001 extracted from Spec v4.3,System must enforce contract rules specified under STK-001,src/core/autogram_core/,PARTIAL
Spec v4.3::STK-002,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case STK-002 extracted from Spec v4.3,System must enforce contract rules specified under STK-002,src/core/autogram_core/,PARTIAL
Spec v4.3::STK-003,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case STK-003 extracted from Spec v4.3,System must enforce contract rules specified under STK-003,src/core/autogram_core/,PARTIAL
Spec v4.3::STK-004,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case STK-004 extracted from Spec v4.3,System must enforce contract rules specified under STK-004,src/core/autogram_core/,PARTIAL
Spec v4.3::STK-005,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case STK-005 extracted from Spec v4.3,System must enforce contract rules specified under STK-005,src/core/autogram_core/,PARTIAL
Spec v4.3::VNT-001,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VNT-001 extracted from Spec v4.3,System must enforce contract rules specified under VNT-001,src/core/autogram_core/,PARTIAL
Spec v4.3::VNT-002,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VNT-002 extracted from Spec v4.3,System must enforce contract rules specified under VNT-002,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-001,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-001 extracted from Spec v4.3,System must enforce contract rules specified under DOC-001,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-002,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-002 extracted from Spec v4.3,System must enforce contract rules specified under DOC-002,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-003,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-003 extracted from Spec v4.3,System must enforce contract rules specified under DOC-003,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-004,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-004 extracted from Spec v4.3,System must enforce contract rules specified under DOC-004,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-005,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-005 extracted from Spec v4.3,System must enforce contract rules specified under DOC-005,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-006,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-006 extracted from Spec v4.3,System must enforce contract rules specified under DOC-006,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-007,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-007 extracted from Spec v4.3,System must enforce contract rules specified under DOC-007,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-008,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-008 extracted from Spec v4.3,System must enforce contract rules specified under DOC-008,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-009,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-009 extracted from Spec v4.3,System must enforce contract rules specified under DOC-009,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-010,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-010 extracted from Spec v4.3,System must enforce contract rules specified under DOC-010,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-011,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-011 extracted from Spec v4.3,System must enforce contract rules specified under DOC-011,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-012,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-012 extracted from Spec v4.3,System must enforce contract rules specified under DOC-012,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-013,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-013 extracted from Spec v4.3,System must enforce contract rules specified under DOC-013,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-014,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-014 extracted from Spec v4.3,System must enforce contract rules specified under DOC-014,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-015,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-015 extracted from Spec v4.3,System must enforce contract rules specified under DOC-015,src/core/autogram_core/,PARTIAL
Spec v4.3::DOC-016,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case DOC-016 extracted from Spec v4.3,System must enforce contract rules specified under DOC-016,src/core/autogram_core/,PARTIAL
Spec v4.3::ARC-001,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case ARC-001 extracted from Spec v4.3,System must enforce contract rules specified under ARC-001,src/core/autogram_core/,PARTIAL
Spec v4.3::ARC-002,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case ARC-002 extracted from Spec v4.3,System must enforce contract rules specified under ARC-002,src/core/autogram_core/,PARTIAL
Spec v4.3::ARC-003,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case ARC-003 extracted from Spec v4.3,System must enforce contract rules specified under ARC-003,src/core/autogram_core/,PARTIAL
Spec v4.3::ARC-004,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case ARC-004 extracted from Spec v4.3,System must enforce contract rules specified under ARC-004,src/core/autogram_core/,PARTIAL
Spec v4.3::ARC-005,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case ARC-005 extracted from Spec v4.3,System must enforce contract rules specified under ARC-005,src/core/autogram_core/,PARTIAL
Spec v4.3::ARC-006,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case ARC-006 extracted from Spec v4.3,System must enforce contract rules specified under ARC-006,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-001,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-001 extracted from Spec v4.3,System must enforce contract rules specified under BAT-001,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-002,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-002 extracted from Spec v4.3,System must enforce contract rules specified under BAT-002,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-003,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-003 extracted from Spec v4.3,System must enforce contract rules specified under BAT-003,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-004,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-004 extracted from Spec v4.3,System must enforce contract rules specified under BAT-004,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-005,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-005 extracted from Spec v4.3,System must enforce contract rules specified under BAT-005,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-006,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-006 extracted from Spec v4.3,System must enforce contract rules specified under BAT-006,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-007,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-007 extracted from Spec v4.3,System must enforce contract rules specified under BAT-007,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-008,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-008 extracted from Spec v4.3,System must enforce contract rules specified under BAT-008,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-009,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-009 extracted from Spec v4.3,System must enforce contract rules specified under BAT-009,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-010,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-010 extracted from Spec v4.3,System must enforce contract rules specified under BAT-010,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-011,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-011 extracted from Spec v4.3,System must enforce contract rules specified under BAT-011,src/core/autogram_core/,PARTIAL
Spec v4.3::BAT-012,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case BAT-012 extracted from Spec v4.3,System must enforce contract rules specified under BAT-012,src/core/autogram_core/,PARTIAL
Spec v4.3::OVR-001,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case OVR-001 extracted from Spec v4.3,System must enforce contract rules specified under OVR-001,src/core/autogram_core/,PARTIAL
Spec v4.3::OVR-002,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case OVR-002 extracted from Spec v4.3,System must enforce contract rules specified under OVR-002,src/core/autogram_core/,PARTIAL
Spec v4.3::OVR-003,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case OVR-003 extracted from Spec v4.3,System must enforce contract rules specified under OVR-003,src/core/autogram_core/,PARTIAL
Spec v4.3::OVR-004,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case OVR-004 extracted from Spec v4.3,System must enforce contract rules specified under OVR-004,src/core/autogram_core/,PARTIAL
Spec v4.3::OVR-005,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case OVR-005 extracted from Spec v4.3,System must enforce contract rules specified under OVR-005,src/core/autogram_core/,PARTIAL
Spec v4.3::OVR-006,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case OVR-006 extracted from Spec v4.3,System must enforce contract rules specified under OVR-006,src/core/autogram_core/,PARTIAL
Spec v4.3::OVR-007,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case OVR-007 extracted from Spec v4.3,System must enforce contract rules specified under OVR-007,src/core/autogram_core/,PARTIAL
Spec v4.3::OVR-008,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case OVR-008 extracted from Spec v4.3,System must enforce contract rules specified under OVR-008,src/core/autogram_core/,PARTIAL
Spec v4.3::SRC-001,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case SRC-001 extracted from Spec v4.3,System must enforce contract rules specified under SRC-001,src/core/autogram_core/,PARTIAL
Spec v4.3::SRC-002,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case SRC-002 extracted from Spec v4.3,System must enforce contract rules specified under SRC-002,src/core/autogram_core/,PARTIAL
Spec v4.3::SRC-003,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case SRC-003 extracted from Spec v4.3,System must enforce contract rules specified under SRC-003,src/core/autogram_core/,PARTIAL
Spec v4.3::SRC-004,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case SRC-004 extracted from Spec v4.3,System must enforce contract rules specified under SRC-004,src/core/autogram_core/,PARTIAL
Spec v4.3::SRC-005,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case SRC-005 extracted from Spec v4.3,System must enforce contract rules specified under SRC-005,src/core/autogram_core/,PARTIAL
Spec v4.3::SRC-006,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case SRC-006 extracted from Spec v4.3,System must enforce contract rules specified under SRC-006,src/core/autogram_core/,PARTIAL
Spec v4.3::SRC-007,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case SRC-007 extracted from Spec v4.3,System must enforce contract rules specified under SRC-007,src/core/autogram_core/,PARTIAL
Spec v4.3::SRC-008,AUD-V45-RATE-001,Spec v4.3,v4.3,Explicit specification requirement case SRC-008 extracted from Spec v4.3,System must enforce contract rules specified under SRC-008,src/core/autogram_core/,PARTIAL
Spec v4.4::SHA-256,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SHA-256 extracted from Spec v4.4,System must enforce contract rules specified under SHA-256,src/core/autogram_core/,PARTIAL
Spec v4.4::DET-001,AUD-V47-ENC-001,Spec v4.4,v4.4,Explicit specification requirement case DET-001 extracted from Spec v4.4,System must enforce contract rules specified under DET-001,src/core/autogram_core/,PARTIAL
Spec v4.4::DET-002,AUD-V47-ENC-001,Spec v4.4,v4.4,Explicit specification requirement case DET-002 extracted from Spec v4.4,System must enforce contract rules specified under DET-002,src/core/autogram_core/,PARTIAL
Spec v4.4::DET-003,AUD-V47-ENC-001,Spec v4.4,v4.4,Explicit specification requirement case DET-003 extracted from Spec v4.4,System must enforce contract rules specified under DET-003,src/core/autogram_core/,PARTIAL
Spec v4.4::DET-004,AUD-V47-ENC-001,Spec v4.4,v4.4,Explicit specification requirement case DET-004 extracted from Spec v4.4,System must enforce contract rules specified under DET-004,src/core/autogram_core/,PARTIAL
Spec v4.4::DET-005,AUD-V47-ENC-001,Spec v4.4,v4.4,Explicit specification requirement case DET-005 extracted from Spec v4.4,System must enforce contract rules specified under DET-005,src/core/autogram_core/,PARTIAL
Spec v4.4::DET-006,AUD-V47-ENC-001,Spec v4.4,v4.4,Explicit specification requirement case DET-006 extracted from Spec v4.4,System must enforce contract rules specified under DET-006,src/core/autogram_core/,PARTIAL
Spec v4.4::DET-007,AUD-V47-ENC-001,Spec v4.4,v4.4,Explicit specification requirement case DET-007 extracted from Spec v4.4,System must enforce contract rules specified under DET-007,src/core/autogram_core/,PARTIAL
Spec v4.4::DET-008,AUD-V47-ENC-001,Spec v4.4,v4.4,Explicit specification requirement case DET-008 extracted from Spec v4.4,System must enforce contract rules specified under DET-008,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-001,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-001 extracted from Spec v4.4,System must enforce contract rules specified under SPL-001,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-002,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-002 extracted from Spec v4.4,System must enforce contract rules specified under SPL-002,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-003,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-003 extracted from Spec v4.4,System must enforce contract rules specified under SPL-003,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-004,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-004 extracted from Spec v4.4,System must enforce contract rules specified under SPL-004,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-005,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-005 extracted from Spec v4.4,System must enforce contract rules specified under SPL-005,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-006,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-006 extracted from Spec v4.4,System must enforce contract rules specified under SPL-006,src/core/autogram_core/,PARTIAL
Spec v4.4::SPL-007,AUD-V44-SPLIT-001,Spec v4.4,v4.4,Explicit specification requirement case SPL-007 extracted from Spec v4.4,System must enforce contract rules specified under SPL-007,src/core/autogram_core/,PARTIAL
